City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,guiratinga,-16.3494,-53.7583,22.22,94,100,0.84,BR,1712890722
231,kodiak,57.79,-152.4072,3.73,81,100,2.57,US,1712890691
232,coronel dorrego,-38.7187,-61.2873,10.65,64,100,5.02,AR,1712890723
233,eldorado at santa fe,35.5264,-105.9347,13.82,25,0,3.6,US,1712890723
234,puerto ayora,-0.7393,-90.3518,25.86,96,77,1.34,EC,1712890723
235,severo-yeniseyskiy,60.3725,93.0408,-11.32,82,100,2.09,RU,1712890723
236,lakatoro,-16.0999,167.4164,29.91,69,29,1.89,VU,1712890723
237,aegina,37.7467,23.4275,20.4,61,93,10.63,GR,1712890723
238,constitucion,-35.3333,-72.4167,10.65,88,79,1.84,CL,1712890724
239,cooma,-36.2333,149.1333,18.24,29,0,1.09,AU,1712890724
240,lihue,21.9789,-159.3672,23.58,88,100,0.0,US,1712890517
241,volda,62.1476,6.0741,10.37,53,99,2.06,NO,1712890724
242,dondo,-19.6094,34.7431,22.73,92,100,3.94,MZ,1712890724
243,kalawit,8.0667,122.5167,32.13,55,100,3.67,PH,1712890724
244,malango,-2.9627,119.9001,20.9,100,100,0.46,ID,1712890724
245,zhangjiakou,40.81,114.8794,20.61,31,45,1.59,CN,1712890725
246,puerto aysen,-45.4,-72.7,3.28,91,4,0.38,CL,1712890725
247,lautoka,-17.6167,177.4667,30.92,74,20,5.66,FJ,1712890725
248,fuyuan,46.4333,127.0833,18.16,47,98,8.97,CN,1712890725
249,papparappatti,12.2167,78.0667,27.54,65,38,2.77,IN,1712890725
250,alenquer,-1.9417,-54.7383,24.88,93,68,1.1,BR,1712890725
251,fada,9.5667,8.3,25.84,22,100,1.41,NG,1712890527
252,kapiri mposhi,-13.9652,28.6809,17.85,97,100,4.43,ZM,1712890726
253,badger,64.8,-147.5333,5.93,49,75,5.14,US,1712890623
254,zemio,5.0314,25.1361,25.54,49,96,0.94,CF,1712890726
255,hempstead,40.7062,-73.6187,16.64,91,100,10.8,US,1712890726
256,kladanj,44.2264,18.6914,2.84,95,41,0.47,BA,1712890726
257,neryungri,56.6709,124.6491,-0.45,99,100,2.44,RU,1712890726
258,birao,10.2849,22.7882,27.75,10,99,3.55,CF,1712890726
259,maracaibo,10.6317,-71.6406,27.69,72,45,6.54,VE,1712890662
260,brookings,44.3114,-96.7984,7.32,71,0,7.2,US,1712890647
261,geraldton,-28.7667,114.6,26.23,44,4,5.14,AU,1712890659
262,strezhevoy,60.7333,77.5889,-13.91,83,96,4.92,RU,1712890727
263,rabaul,-4.1967,152.1721,28.33,79,93,2.05,PG,1712890727
264,boguchany,58.3814,97.4531,-4.52,87,100,0.89,RU,1712890727
265,tsiombe,-25.3,45.4833,20.45,77,100,2.96,MG,1712890693
266,khorixas,-20.3667,14.9667,24.94,46,71,2.47,NA,1712890727
267,udachny,66.4167,112.4,-19.2,89,77,4.9,RU,1712890570
268,zhuangyuan,37.2975,120.8256,22.11,34,43,6.26,CN,1712890728
